fold,horizon,intercept,coef_z_m3_scaled,coef_z_parity_scaled,scaler_mean_m3,scaler_scale_m3,scaler_mean_par,scaler_scale_par
0,0,-1.5423213200929953,0.6700568527547043,0.29053887988874877,-1.3215313006535425,0.6374061166565886,-1.439366537085492,0.49105929046243696
1,0,-1.5407017763346362,0.6580137526943456,0.30051001465420796,-1.300460617268901,0.6431616894677529,-1.4458398577646072,0.5238281250381238
2,0,-1.5363463165943239,0.6759383051529747,0.2215612287055505,-1.2929712432893703,0.6594702795706207,-1.417652804118192,0.3665705218609554
3,0,-1.5704224633542667,0.7351047557335996,0.29379295951839324,-1.2787088245690599,0.6674287479667992,-1.4412728330702913,0.48367345191063466
4,0,-1.567535891830677,0.7289708383239752,0.29052551665045845,-1.307761948203061,0.6433553460341903,-1.4436855787454417,0.498541965768568
internal_test_model,0,-1.5647427174167514,0.7578029843317295,0.17823023613888878,-1.3164810264546796,0.6278731389663413,-1.4228675054942388,0.38499467945981347
