direction,horizon,cv_auroc_baseline,cv_auroc_hybrid,cv_delta,cv_boot_p,cv_delong_p,cv_ci_low,cv_ci_high,test_delta,test_boot_p
Parity_added_to_Model3 (Hybrid - Model3),Delivery,0.7216,0.7324,0.0108,0.172,0.1656,-0.0049,0.0262,0.0187,0.03
Model3_added_to_ParityFusion (Hybrid - ParityFusion),Delivery,0.7094,0.7324,0.0229,0.093,0.0917,-0.0036,0.05,-0.0232,0.331
Parity_added_to_Model3 (Hybrid - Model3),>=10m,0.6683,0.6896,0.0213,0.097,0.0901,-0.0034,0.0452,0.0588,0.001
Model3_added_to_ParityFusion (Hybrid - ParityFusion),>=10m,0.7008,0.6896,-0.0112,0.357,0.3544,-0.0355,0.0123,-0.0036,0.92
Parity_added_to_Model3 (Hybrid - Model3),>=20m,0.6015,0.6481,0.0467,0.005,0.0078,0.0119,0.081,0.1087,0.0
Model3_added_to_ParityFusion (Hybrid - ParityFusion),>=20m,0.6435,0.6481,0.0047,0.852,0.8241,-0.0382,0.0446,-0.0098,0.701
Parity_added_to_Model3 (Hybrid - Model3),>=30m,0.5976,0.6451,0.0475,0.013,0.0104,0.0109,0.0827,0.1025,0.0
Model3_added_to_ParityFusion (Hybrid - ParityFusion),>=30m,0.6368,0.6451,0.0083,0.668,0.6447,-0.0276,0.0441,0.0419,0.349
