horizon,cv_auroc_p6,cv_auroc_fused,cv_delta,cv_boot_p,cv_delong_p,cv_ci_low,cv_ci_high,test_auroc_p6,test_auroc_fused,test_delta,test_boot_p,test_delong_p,test_ci_low,test_ci_high
Delivery (0m),0.6872,0.7094,0.0223,0.172,0.1593,-0.0089,0.0516,0.6497,0.7148,0.0651,0.025,0.0196,0.0103,0.1242
>=30m,0.5857,0.6351,0.0494,0.078,0.0736,-0.0069,0.1026,0.6845,0.7629,0.0784,0.166,0.1444,-0.0345,0.1778
