cv_auroc_cand,cv_auroc_base,cv_delta,cv_boot_p,cv_delong_p,cv_ci_low,cv_ci_high,test_auroc_cand,test_auroc_base,test_delta,test_boot_p,test_delong_p,test_ci_low,test_ci_high,horizon_min,cv_auprc
0.7003,0.6872,0.0131,0.61,0.6171,-0.0382,0.0664,0.6506,0.6497,0.0009,0.926,0.9871,-0.111,0.0987,0,0.3909
0.6345,0.6859,-0.0513,0.018,0.0156,-0.0934,-0.0101,0.6061,0.5802,0.0258,0.61,0.618,-0.0828,0.1221,10,0.335
0.5997,0.6238,-0.0241,0.204,0.1953,-0.0613,0.0142,0.6346,0.6123,0.0223,0.658,0.6357,-0.0752,0.1152,20,0.3084
0.5962,0.5828,0.0133,0.425,0.4262,-0.0205,0.0472,0.6604,0.6078,0.0526,0.407,0.394,-0.0651,0.1773,30,0.2888
