cv_auroc_cand,cv_auroc_base,cv_delta,cv_boot_p,cv_delong_p,cv_ci_low,cv_ci_high,test_auroc_cand,test_auroc_base,test_delta,test_boot_p,test_delong_p,test_ci_low,test_ci_high,horizon_min,cv_auprc
0.7007,0.6872,0.0136,0.604,0.607,-0.0385,0.0675,0.6488,0.6497,-0.0009,0.945,0.987,-0.1141,0.0974,0,0.3992
0.6312,0.6859,-0.0546,0.015,0.0122,-0.0976,-0.0125,0.6078,0.5802,0.0276,0.59,0.5901,-0.0769,0.1221,10,0.3362
0.5982,0.6238,-0.0256,0.173,0.1661,-0.0621,0.0126,0.6346,0.6123,0.0223,0.646,0.6268,-0.0716,0.1123,20,0.3135
0.5961,0.5828,0.0132,0.423,0.4206,-0.0198,0.0456,0.6622,0.6078,0.0544,0.383,0.3724,-0.059,0.18,30,0.2917
