horizon_min,cv_auroc,cv_auroc_sw,cv_delta,cv_p,cv_ci_low,cv_ci_high,cv_delong_p,cv_auprc,test_auroc,test_auroc_sw,test_delta,test_p,test_delong_p
0,0.7006,0.6872,0.0135,0.601,-0.0382,0.0667,0.6083,0.3977,0.6506,0.6497,0.0009,0.92,0.9868
10,0.6344,0.6859,-0.0515,0.016,-0.0941,-0.01,0.016,0.337,0.6078,0.5802,0.0276,0.581,0.5878
20,0.5993,0.6238,-0.0245,0.192,-0.061,0.0133,0.1838,0.3104,0.6399,0.6123,0.0276,0.577,0.5594
30,0.5976,0.5828,0.0147,0.371,-0.0188,0.0478,0.373,0.2937,0.6658,0.6078,0.0579,0.358,0.3485
