label,auroc_delivery_cv,note
"P6_canonical (unweighted, sample_weight=None)",0.6872,Reference baseline for Options A/C/D. Matches published Phase 12.1 (0.6872).
P6_patient_normalized (w_patient applied),0.6843,"Used only as the stride experiment's baseline arm, applied symmetrically to both stride arms."
