acc,se,sp,qi,auc,tp,fp,tn,fn,fold
0.5451807228915663,0.5261194029850746,0.625,0.5734323210856462,0.636602145522388,141,24,40,127,0
0.6024096385542169,0.5927272727272728,0.6491228070175439,0.6202844436777216,0.7113237639553428,163,20,37,112,1
0.6283987915407855,0.6227106227106227,0.6551724137931034,0.6387353299888188,0.6835291145635974,170,20,38,103,2
0.5589123867069486,0.5303030303030303,0.6716417910447762,0.5968028795751571,0.6605042966983266,140,22,45,124,3
0.6646525679758308,0.703971119133574,0.46296296296296297,0.5708875153254207,0.6415964701163257,195,29,25,82,4
0.40181268882175225,0.2846153846153846,0.8309859154929577,0.4863243526166417,0.6606175514626219,74,12,59,186,5
0.6435045317220544,0.65625,0.6,0.6274950199005567,0.6754166666666667,168,30,45,88,6
0.5830815709969789,0.5603112840466926,0.6621621621621622,0.6091115918517849,0.6693132821537491,144,25,49,113,7
0.6555891238670695,0.68,0.5357142857142857,0.6035608621222174,0.6687012987012987,187,26,30,88,8
0.6314199395770392,0.6714801444043321,0.42592592592592593,0.5347904283420652,0.6128493114052681,186,31,23,91,9
