acc,se,sp,qi,auc,tp,fp,tn,fn,fold,threshold
0.5813253012048193,0.5746268656716418,0.609375,0.5917459305045171,0.636602145522388,154,25,39,114,0,0.48936066031455994
0.5602409638554217,0.5127272727272727,0.7894736842105263,0.6362269162769014,0.7113237639553428,141,12,45,134,1,0.5384721159934998
0.6737160120845922,0.684981684981685,0.6206896551724138,0.6520437453504949,0.6835291145635974,187,22,36,86,2,0.47594308853149414
0.6072507552870091,0.5946969696969697,0.6567164179104478,0.624937807850983,0.6605042966983266,157,23,44,107,3,0.4934357702732086
0.6042296072507553,0.592057761732852,0.6666666666666666,0.6282556601325355,0.6415964701163257,164,18,36,113,4,0.5202735066413879
0.5800604229607251,0.5538461538461539,0.676056338028169,0.6119078383222564,0.6606175514626219,144,23,48,116,5,0.4616948962211609
0.5558912386706949,0.484375,0.8,0.6224949798994366,0.6754166666666667,124,15,60,132,6,0.5103506445884705
0.6253776435045317,0.6186770428015564,0.6486486486486487,0.6334856176450826,0.6693132821537491,159,26,48,98,7,0.48979318141937256
0.595166163141994,0.5854545454545454,0.6428571428571429,0.6134848297746541,0.6687012987012987,161,20,36,114,8,0.5128933191299438
0.5589123867069486,0.555956678700361,0.5740740740740741,0.5649427542240074,0.6128493114052681,154,23,31,123,9,0.517064094543457
