name,auroc,ci_lo,ci_hi,auprc
contraction trajectory ALONE,0.5745163303515707,0.5144378830720711,0.6370134169047222,0.24983897396660287
19 + contraction trajectory,0.6407530684418556,0.5738962526687585,0.7028277760685824,0.3622575900440926
stage-split trajectory ALONE,0.5799875182026213,0.5159003255132174,0.6419176546145152,0.26010192056468495
19 + stage-split trajectory,0.658893280632411,0.5907918107183212,0.7226790138352678,0.3860955287381649
19 + trajectory + stage-split,0.6576242978988974,0.5935560664921795,0.7201863396778164,0.3941889528434991
19 + trajectory (gradient boosting),0.6974620345329728,0.6402951126892389,0.7503014198459395,0.38713465002875447
