set,vs,split,alpha_mean,dM,dM_p,dM_ci_lo,dM_ci_hi,d0,p0,d10,p10,d20,p20,d30,p30,M_cand,M_base,M_PRS_cand,M_PRS_base
S1,S0,CANONICAL,0.29,-0.00526041213807496,0.636,-0.027837664175724645,0.01641975555939746,-0.005477784540474762,0.568,-0.004579311943888942,0.705,-0.003593890386343168,0.78,-0.007390661681592969,0.549,0.6618337535866445,0.6670941657247196,0.6618337535866445,0.6670941657247196
S1,S0,resplit_11,0.31,-0.0012027939599454918,0.926,-0.026257240731314666,0.023154818474141064,-0.004028635191142715,0.697,0.001333217401385367,0.923,0.0020867750630380044,0.854,-0.004202533113062623,0.769,0.6622322696577109,0.6634350636176565,0.6622322696577109,0.6634350636176565
S1,S0,resplit_22,0.28,-0.011636669275135542,0.407,-0.03991559065802787,0.0163047819260775,-0.013071327130974142,0.335,-0.004376431034982531,0.769,-0.012172854534388322,0.447,-0.01692606440019717,0.281,0.6501318725907892,0.6617685418659247,0.6501318725907892,0.6617685418659247
S1,S0,resplit_33,0.26,-0.028656928383039154,0.029,-0.05727763962584672,-0.0022874178020458034,-0.03840245775729656,0.003,-0.02362113439411062,0.08,-0.02915688490855861,0.071,-0.023447236472190824,0.136,0.6248731994319334,0.6535301278149727,0.6248731994319334,0.6535301278149727
S1,S0,resplit_44,0.31,-0.0027461380169840066,0.802,-0.026444874287064622,0.020439456102945886,-0.011535228820682253,0.267,0.00028982986986647585,1.0,2.898298698661428e-05,0.977,0.00023186389589313627,0.986,0.6461249746398864,0.6488711126568704,0.6461249746398864,0.6488711126568704
S1,S0,resplit_55,0.26,-0.03041039909573079,0.036,-0.05971121742335448,-0.002000379492339576,-0.03396806074834069,0.011,-0.018578094658435407,0.227,-0.035620091006579147,0.054,-0.033475349969567914,0.039,0.6205257513839376,0.6509361504796685,0.6205257513839376,0.6509361504796685
