cand,split,alpha_mean,M_gru_alone,dM,dM_p,dM_ci_lo,dM_ci_hi,d0,p0,d10,p10,d20,p20,d30,p30,M_cand,M_base,M_PRS_cand,M_PRS_base
C6a,CANONICAL,0.27,0.6266121786511318,-0.013513317682520398,0.208,-0.035289602235479944,0.007661672806075995,-0.008463032200098586,0.555,-0.010144045445323657,0.439,-0.017128945309103583,0.232,-0.018317247775555767,0.231,0.6535808480421992,0.6670941657247196,0.6266121786511318,0.6266121786511318
C6a,resplit_11,0.29,0.6184969422948728,-0.009361504796684378,0.371,-0.03139128879665908,0.011247409448378858,-0.016375387647450945,0.296,-0.00965133466655077,0.49,-0.010259977393270225,0.457,-0.0011593194794655703,0.955,0.6540735588209721,0.6634350636176565,0.6184969422948728,0.6184969422948728
C6a,resplit_22,0.29,0.6305538648813147,-0.006115410254180775,0.636,-0.03346803262800437,0.019834417371350388,0.005680665449381284,0.749,-0.0008115236356258659,0.97,-0.015360983102918557,0.383,-0.013969799727559962,0.462,0.655653131611744,0.6617685418659247,0.6305538648813147,0.6305538648813147
C6a,resplit_33,0.27,0.6196417702808452,-0.002470799640610921,0.821,-0.024502069977776066,0.019536128101224542,-0.004579311943888942,0.757,-0.0021737240239978473,0.876,-0.012520650378227915,0.385,0.00939048778367102,0.614,0.6510593281743617,0.6535301278149727,0.6196417702808452,0.6196417702808452
C6a,resplit_44,0.32,0.6335970785149118,-0.005441555806741438,0.569,-0.023589067043776103,0.012101820054945027,-0.01228878648233489,0.361,-0.016520302582384128,0.22,-0.009187606874764498,0.477,0.016230472712517763,0.305,0.6434295568501289,0.6488711126568704,0.6335970785149118,0.6335970785149118
C6a,resplit_55,0.17,0.591600730371272,-0.04534388314059648,0.0,-0.07416410015208712,-0.01841879554318121,-0.07894965655160424,0.0,-0.03733008723879083,0.007,-0.03944584528881545,0.024,-0.025649943483175397,0.182,0.6055922673390719,0.6509361504796685,0.591600730371272,0.591600730371272
