resplit_seed,alpha_TAM_mean,alpha_PRS_mean,dM,dM_p,dM_ci_lo,dM_ci_hi,d0,p0,d10,p10,d20,p20,d30,p30,M_TAM,M_PRS
11,0.33,0.31,-0.004014978156854615,0.524,-0.01541210297628964,0.008336373824805864,-0.015581443727896827,0.12,-0.0003120449344705678,0.984,0.004743083003952542,0.629,-0.0049095069690036075,0.609,0.6855,0.6815
22,0.33,0.32,-0.0013729977116704595,0.822,-0.012443821444360233,0.010657313978908574,-0.017120865404618213,0.091,0.005034324942791768,0.55,0.0064697316413564465,0.52,0.0001248179737881605,0.961,0.6867,0.6853
33,0.34,0.32,-0.003229665071770388,0.609,-0.014282003653679182,0.008829105158002294,-0.017100062408986982,0.086,0.004763885999583883,0.592,0.004472644060744657,0.618,-0.00505512793842311,0.619,0.6869,0.6837
44,0.34,0.33,-0.003323278552111536,0.586,-0.014307364740618413,0.008014308584220588,-0.017349698356563414,0.081,0.004347826086956497,0.599,0.004992718951528974,0.597,-0.0052839608903682,0.584,0.6879,0.6846
55,0.33,0.32,-0.003978572914499684,0.501,-0.015047236204325142,0.008130675957540051,-0.01990846681922198,0.052,0.0038485541918036326,0.645,0.00449344705637611,0.654,-0.004347826086956497,0.658,0.6877,0.6837
