system,achieved_sens,FAR,median_lead_min,pct_ge20,pct_ge30
U_TAM,0.8636,0.6247,40.0,0.8316,0.7053
U_PRS,0.8818,0.6773,40.0,0.8351,0.6907
TAM,0.8818,0.6934,32.5,0.6598,0.5464
PRS_ref,0.9273,0.8307,35.0,0.7157,0.598
