horizon_min,split,model,auroc,delta_vs_canonical_m3,delta_vs_split_m3,p_vs_m3,delta_vs_split_f2,p_vs_f2
0,resplit_33,A4_logit_sum_to_one,0.7307,0.0091,0.0091,0.447,0.0006,0.893
0,resplit_33,A4_logit_equal,0.733,0.0114,0.0114,0.381,0.0029,0.581
0,resplit_33,F1_unregularized,0.7298,0.0082,0.0082,0.36,-0.0003,0.742
0,resplit_33,F3_l1,0.7244,0.0028,0.0028,0.478,-0.0058,0.25
0,resplit_33,F7_interaction,0.7334,0.0118,0.0118,0.194,0.0032,0.052
0,resplit_33,P3_categorical_parity,0.7323,0.0108,0.0108,0.059,0.0022,0.801
0,resplit_44,B0_prevalence,0.4986,-0.223,-0.223,0.0,-0.232,0.0
0,resplit_44,B1_parity_only,0.5785,-0.1431,-0.1431,0.0,-0.1521,0.0
0,resplit_44,B2_m3_only,0.7216,0.0,0.0,1.0,-0.009,0.266
0,resplit_44,F2_hybrid_C0.1,0.7306,0.009,0.009,0.266,0.0,1.0
0,resplit_44,A3_prob_avg_a0.25,0.7249,0.0033,0.0033,0.862,-0.0057,0.663
0,resplit_44,A3_prob_avg_a0.5,0.7386,0.017,0.017,0.138,0.008,0.082
0,resplit_44,A3_prob_avg_a0.75,0.7326,0.011,0.011,0.009,0.002,0.695
0,resplit_44,A3_prob_avg_selected,0.732,0.0104,0.0104,0.408,0.0014,0.795
0,resplit_44,A4_logit_unconstrained,0.7304,0.0088,0.0088,0.311,-0.0002,0.844
0,resplit_44,A4_logit_nonneg,0.7305,0.0089,0.0089,0.309,-0.0002,0.86
0,resplit_44,A4_logit_sum_to_one,0.7246,0.003,0.003,0.787,-0.0061,0.236
0,resplit_44,A4_logit_equal,0.7339,0.0123,0.0123,0.337,0.0033,0.557
0,resplit_44,F1_unregularized,0.7305,0.0089,0.0089,0.309,-0.0002,0.86
0,resplit_44,F3_l1,0.7254,0.0038,0.0038,0.359,-0.0052,0.254
0,resplit_44,F7_interaction,0.7333,0.0117,0.0117,0.186,0.0027,0.097
0,resplit_44,P3_categorical_parity,0.7316,0.01,0.01,0.084,0.001,0.936
