horizon_min,split,model,auroc,delta_vs_canonical_m3,delta_vs_split_m3,p_vs_m3,delta_vs_split_f2,p_vs_f2
30,CANONICAL,B0_prevalence,0.4986,-0.099,-0.099,0.017,-0.1465,0.0
30,CANONICAL,B1_parity_only,0.5755,-0.0221,-0.0221,0.615,-0.0696,0.035
30,CANONICAL,B2_m3_only,0.5976,0.0,0.0,1.0,-0.0475,0.013
30,CANONICAL,F2_hybrid_C0.1,0.6451,0.0475,0.0475,0.013,0.0,1.0
30,CANONICAL,A3_prob_avg_a0.25,0.6625,0.0648,0.0648,0.002,0.0174,0.0
30,CANONICAL,A3_prob_avg_a0.5,0.6473,0.0497,0.0497,0.0,0.0022,0.822
30,CANONICAL,A3_prob_avg_a0.75,0.6226,0.0249,0.0249,0.0,-0.0226,0.115
30,CANONICAL,A3_prob_avg_selected,0.645,0.0474,0.0474,0.036,-0.0001,0.994
30,CANONICAL,A4_logit_unconstrained,0.6476,0.0499,0.0499,0.014,0.0025,0.206
30,CANONICAL,A4_logit_nonneg,0.6477,0.0501,0.0501,0.014,0.0026,0.182
30,CANONICAL,A4_logit_sum_to_one,0.6337,0.0361,0.0361,0.16,-0.0114,0.316
30,CANONICAL,A4_logit_equal,0.6482,0.0506,0.0506,0.0,0.0031,0.662
30,CANONICAL,F1_unregularized,0.6477,0.0501,0.0501,0.014,0.0026,0.186
30,CANONICAL,F3_l1,0.6354,0.0378,0.0378,0.025,-0.0097,0.014
30,CANONICAL,F7_interaction,0.6465,0.0488,0.0488,0.006,0.0014,0.518
30,CANONICAL,P3_categorical_parity,0.6359,0.0383,0.0383,0.018,-0.0092,0.372
30,resplit_11,B0_prevalence,0.4986,-0.099,-0.099,0.026,-0.1532,0.0
30,resplit_11,B1_parity_only,0.5708,-0.0268,-0.0268,0.537,-0.081,0.012
30,resplit_11,B2_m3_only,0.5976,0.0,0.0,1.0,-0.0542,0.005
30,resplit_11,F2_hybrid_C0.1,0.6518,0.0542,0.0542,0.005,0.0,1.0
30,resplit_11,A3_prob_avg_a0.25,0.6576,0.06,0.06,0.008,0.0058,0.401
30,resplit_11,A3_prob_avg_a0.5,0.6445,0.0468,0.0468,0.003,-0.0074,0.26
30,resplit_11,A3_prob_avg_a0.75,0.6223,0.0247,0.0247,0.0,-0.0295,0.04
30,resplit_11,A3_prob_avg_selected,0.6534,0.0558,0.0558,0.014,0.0016,0.827
30,resplit_11,A4_logit_unconstrained,0.6534,0.0558,0.0558,0.007,0.0016,0.315
30,resplit_11,A4_logit_nonneg,0.6535,0.0559,0.0559,0.007,0.0017,0.289
30,resplit_11,A4_logit_sum_to_one,0.6546,0.0569,0.0569,0.012,0.0027,0.623
30,resplit_11,A4_logit_equal,0.6455,0.0479,0.0479,0.002,-0.0063,0.266
30,resplit_11,F1_unregularized,0.6535,0.0559,0.0559,0.007,0.0017,0.294
30,resplit_11,F3_l1,0.6445,0.0469,0.0469,0.006,-0.0073,0.043
30,resplit_11,F7_interaction,0.6529,0.0553,0.0553,0.003,0.0011,0.622
30,resplit_11,P3_categorical_parity,0.6437,0.0461,0.0461,0.006,-0.0081,0.42
30,resplit_22,B0_prevalence,0.4986,-0.099,-0.099,0.015,-0.1457,0.001
30,resplit_22,B1_parity_only,0.5731,-0.0245,-0.0245,0.521,-0.0712,0.012
30,resplit_22,B2_m3_only,0.5976,0.0,0.0,1.0,-0.0467,0.015
30,resplit_22,F2_hybrid_C0.1,0.6443,0.0467,0.0467,0.015,0.0,1.0
30,resplit_22,A3_prob_avg_a0.25,0.653,0.0553,0.0553,0.012,0.0087,0.099
30,resplit_22,A3_prob_avg_a0.5,0.6412,0.0436,0.0436,0.007,-0.0031,0.602
30,resplit_22,A3_prob_avg_a0.75,0.6213,0.0237,0.0237,0.0,-0.023,0.126
30,resplit_22,A3_prob_avg_selected,0.6659,0.0683,0.0683,0.002,0.0216,0.003
30,resplit_22,A4_logit_unconstrained,0.6465,0.0488,0.0488,0.017,0.0021,0.235
30,resplit_22,A4_logit_nonneg,0.6464,0.0488,0.0488,0.017,0.0021,0.238
30,resplit_22,A4_logit_sum_to_one,0.6619,0.0642,0.0642,0.003,0.0176,0.007
30,resplit_22,A4_logit_equal,0.6442,0.0466,0.0466,0.002,-0.0001,0.968
30,resplit_22,F1_unregularized,0.6464,0.0488,0.0488,0.017,0.0021,0.24
30,resplit_22,F3_l1,0.6325,0.0348,0.0348,0.052,-0.0119,0.005
30,resplit_22,F7_interaction,0.6434,0.0457,0.0457,0.016,-0.001,0.601
30,resplit_22,P3_categorical_parity,0.638,0.0403,0.0403,0.014,-0.0063,0.536
30,resplit_33,B0_prevalence,0.4986,-0.099,-0.099,0.02,-0.1477,0.0
30,resplit_33,B1_parity_only,0.5678,-0.0298,-0.0298,0.481,-0.0785,0.007
30,resplit_33,B2_m3_only,0.5976,0.0,0.0,1.0,-0.0487,0.012
30,resplit_33,F2_hybrid_C0.1,0.6464,0.0487,0.0487,0.012,0.0,1.0
30,resplit_33,A3_prob_avg_a0.25,0.6537,0.0561,0.0561,0.016,0.0073,0.283
30,resplit_33,A3_prob_avg_a0.5,0.6443,0.0467,0.0467,0.0,-0.0021,0.732
30,resplit_33,A3_prob_avg_a0.75,0.6215,0.0239,0.0239,0.0,-0.0249,0.099
30,resplit_33,A3_prob_avg_selected,0.6527,0.0551,0.0551,0.017,0.0063,0.321
30,resplit_33,A4_logit_unconstrained,0.6486,0.0509,0.0509,0.013,0.0022,0.143
30,resplit_33,A4_logit_nonneg,0.6485,0.0509,0.0509,0.013,0.0021,0.153
30,resplit_33,A4_logit_sum_to_one,0.661,0.0633,0.0633,0.007,0.0146,0.034
30,resplit_33,A4_logit_equal,0.6459,0.0482,0.0482,0.001,-0.0005,0.901
30,resplit_33,F1_unregularized,0.6485,0.0509,0.0509,0.013,0.0022,0.158
30,resplit_33,F3_l1,0.6348,0.0371,0.0371,0.031,-0.0116,0.007
30,resplit_33,F7_interaction,0.644,0.0463,0.0463,0.013,-0.0024,0.111
30,resplit_33,P3_categorical_parity,0.6386,0.041,0.041,0.012,-0.0078,0.46
30,resplit_44,B0_prevalence,0.4986,-0.099,-0.099,0.028,-0.1515,0.0
30,resplit_44,B1_parity_only,0.5785,-0.0191,-0.0191,0.652,-0.0716,0.026
30,resplit_44,B2_m3_only,0.5976,0.0,0.0,1.0,-0.0525,0.007
30,resplit_44,F2_hybrid_C0.1,0.6501,0.0525,0.0525,0.007,0.0,1.0
30,resplit_44,A3_prob_avg_a0.25,0.6634,0.0658,0.0658,0.003,0.0133,0.004
30,resplit_44,A3_prob_avg_a0.5,0.646,0.0484,0.0484,0.001,-0.0041,0.531
30,resplit_44,A3_prob_avg_a0.75,0.6227,0.0251,0.0251,0.0,-0.0274,0.06
30,resplit_44,A3_prob_avg_selected,0.6592,0.0616,0.0616,0.004,0.0091,0.215
30,resplit_44,A4_logit_unconstrained,0.6538,0.0562,0.0562,0.008,0.0037,0.013
30,resplit_44,A4_logit_nonneg,0.6538,0.0561,0.0561,0.008,0.0036,0.014
30,resplit_44,A4_logit_sum_to_one,0.6622,0.0645,0.0645,0.003,0.012,0.009
30,resplit_44,A4_logit_equal,0.647,0.0494,0.0494,0.001,-0.0031,0.572
30,resplit_44,F1_unregularized,0.6538,0.0561,0.0561,0.008,0.0036,0.014
30,resplit_44,F3_l1,0.6417,0.0441,0.0441,0.011,-0.0084,0.002
30,resplit_44,F7_interaction,0.6496,0.052,0.052,0.005,-0.0005,0.753
30,resplit_44,P3_categorical_parity,0.6437,0.0461,0.0461,0.007,-0.0064,0.524
30,resplit_55,B0_prevalence,0.4986,-0.099,-0.099,0.021,-0.1505,0.001
30,resplit_55,B1_parity_only,0.5707,-0.0269,-0.0269,0.535,-0.0784,0.014
30,resplit_55,B2_m3_only,0.5976,0.0,0.0,1.0,-0.0515,0.01
30,resplit_55,F2_hybrid_C0.1,0.6491,0.0515,0.0515,0.01,0.0,1.0
30,resplit_55,A3_prob_avg_a0.25,0.661,0.0634,0.0634,0.005,0.0119,0.065
30,resplit_55,A3_prob_avg_a0.5,0.6444,0.0467,0.0467,0.005,-0.0047,0.488
30,resplit_55,A3_prob_avg_a0.75,0.6224,0.0248,0.0248,0.0,-0.0266,0.068
30,resplit_55,A3_prob_avg_selected,0.659,0.0614,0.0614,0.006,0.0099,0.105
30,resplit_55,A4_logit_unconstrained,0.6521,0.0544,0.0544,0.008,0.003,0.066
30,resplit_55,A4_logit_nonneg,0.6521,0.0545,0.0545,0.008,0.003,0.066
30,resplit_55,A4_logit_sum_to_one,0.6581,0.0604,0.0604,0.007,0.009,0.065
30,resplit_55,A4_logit_equal,0.6438,0.0462,0.0462,0.003,-0.0053,0.288
30,resplit_55,F1_unregularized,0.6521,0.0544,0.0544,0.008,0.003,0.067
30,resplit_55,F3_l1,0.6397,0.0421,0.0421,0.016,-0.0094,0.03
30,resplit_55,F7_interaction,0.6511,0.0534,0.0534,0.005,0.002,0.624
30,resplit_55,P3_categorical_parity,0.6429,0.0453,0.0453,0.01,-0.0062,0.535
