horizon,model,cv_auroc,cv_auprc,cv_brier,test_auroc,cv_delta_vs_m3,cv_p_vs_m3,cv_ci_low_vs_m3,cv_ci_high_vs_m3,cv_delta_vs_hybrid,cv_p_vs_hybrid,test_delta_vs_m3,test_p_vs_m3
>=20m,A3_prob_avg_a0.25,0.6614,0.3428,0.1542,0.7799,0.0599,0.008,0.0157,0.1042,0.0151,0.108,0.1595,0.0
>=20m,A3_prob_avg_a0.5,0.653,0.3478,0.1527,0.7175,0.0515,0.0,0.0198,0.0821,0.0067,0.261,0.0971,0.0
>=20m,A3_prob_avg_a0.75,0.6278,0.3348,0.1529,0.6702,0.0263,0.001,0.0113,0.041,-0.0185,0.119,0.0499,0.0
>=20m,A3_prob_avg_selected,0.6658,0.3461,0.1535,0.7558,0.0644,0.0,0.0262,0.1038,0.0195,0.0,0.1355,0.0
>=20m,A4_logit_unconstrained,0.6478,0.3203,0.1537,0.7219,0.0463,0.011,0.0093,0.0833,0.0015,0.481,0.1016,0.0
>=20m,A4_logit_nonneg,0.6477,0.3202,0.1537,0.7219,0.0463,0.011,0.0092,0.0835,0.0014,0.505,0.1016,0.0
>=20m,A4_logit_sum_to_one,0.658,0.3372,0.1539,0.7567,0.0566,0.007,0.0148,0.0996,0.0117,0.123,0.1364,0.0
>=20m,A4_logit_equal,0.6515,0.3426,0.1522,0.7103,0.0501,0.0,0.0183,0.0804,0.0052,0.272,0.09,0.0
>=20m,F1_unregularized,0.6478,0.3204,0.1537,0.7219,0.0464,0.011,0.0094,0.0835,0.0015,0.456,0.1016,0.0
>=20m,F3_l1,0.636,0.3134,0.1554,0.6889,0.0346,0.009,0.0071,0.0612,-0.0103,0.056,0.0686,0.0
>=20m,F7_interaction,0.6505,0.3268,0.1531,0.7184,0.049,0.004,0.0153,0.0817,0.0042,0.156,0.098,0.0
>=20m,P3_categorical_parity,0.6429,0.3247,0.1535,0.7157,0.0414,0.007,0.0139,0.0691,-0.0034,0.705,0.0954,0.0
>=30m,B0_prevalence,0.4986,0.2007,0.1607,0.5,-0.099,0.017,-0.1763,-0.016,-0.1451,0.0,-0.1658,0.074
>=30m,B1_parity_only,0.5755,0.2323,0.1574,0.652,-0.0221,0.615,-0.1053,0.0601,-0.0682,0.034,-0.0138,0.93
>=30m,B2_m3_only,0.5976,0.3043,0.1572,0.6658,0.0,1.0,0.0,0.0,-0.0461,0.014,0.0,1.0
>=30m,F2_hybrid_C0.1,0.6437,0.3105,0.1551,0.7558,0.0461,0.014,0.0097,0.0813,0.0,1.0,0.09,0.0
>=30m,A3_prob_avg_a0.25,0.6625,0.3385,0.1549,0.7843,0.0648,0.002,0.0225,0.107,0.0188,0.0,0.1185,0.001
>=30m,A3_prob_avg_a0.5,0.6473,0.3314,0.154,0.746,0.0497,0.0,0.0216,0.078,0.0036,0.675,0.0802,0.0
>=30m,A3_prob_avg_a0.75,0.6226,0.3164,0.1548,0.7041,0.0249,0.0,0.0117,0.0376,-0.0211,0.134,0.0383,0.0
>=30m,A3_prob_avg_selected,0.6469,0.317,0.1552,0.7843,0.0493,0.027,0.0061,0.0908,0.0032,0.623,0.1185,0.001
>=30m,A4_logit_unconstrained,0.6455,0.3109,0.1551,0.762,0.0479,0.017,0.0101,0.0851,0.0019,0.341,0.0963,0.0
>=30m,A4_logit_nonneg,0.6456,0.311,0.1551,0.762,0.048,0.017,0.0103,0.0852,0.0019,0.331,0.0963,0.0
>=30m,A4_logit_sum_to_one,0.6449,0.3173,0.1553,0.7727,0.0472,0.054,-0.0007,0.0928,0.0012,0.883,0.107,0.002
>=30m,A4_logit_equal,0.6486,0.3313,0.1539,0.7415,0.0509,0.0,0.0223,0.0801,0.0049,0.489,0.0758,0.0
>=30m,F1_unregularized,0.6455,0.311,0.1551,0.762,0.0479,0.017,0.0103,0.0852,0.0019,0.345,0.0963,0.0
>=30m,F3_l1,0.636,0.2971,0.1569,0.7415,0.0384,0.019,0.0069,0.0695,-0.0077,0.049,0.0758,0.0
>=30m,F7_interaction,0.6452,0.31,0.155,0.7558,0.0476,0.008,0.0117,0.0827,0.0015,0.423,0.09,0.0
>=30m,P3_categorical_parity,0.6359,0.3085,0.1554,0.7362,0.0383,0.018,0.0064,0.0686,-0.0078,0.431,0.0704,0.011
