split,horizon_min,model,auroc,delta_vs_m3only,p_vs_m3only,ci_low,ci_high
resplit_22,20,F2_deployable,0.6486,0.0471,0.004,0.0132,0.0795
resplit_22,20,F7_deployable,0.6494,0.0479,0.003,0.0137,0.0806
resplit_22,20,A4_sum_to_one_deployable,0.6608,0.0593,0.003,0.0191,0.0994
resplit_22,30,A3_fixed_a0.25,0.653,0.0553,0.012,0.0108,0.0985
resplit_22,30,A3_fixed_a0.5,0.6412,0.0436,0.007,0.0132,0.0728
resplit_22,30,A3_fixed_a0.75,0.6213,0.0237,0.0,0.0107,0.0365
resplit_22,30,A3_selected_once,0.6597,0.0621,0.002,0.0211,0.1008
resplit_22,30,F2_deployable,0.6421,0.0445,0.007,0.0122,0.075
resplit_22,30,F7_deployable,0.6418,0.0442,0.009,0.0122,0.0747
resplit_22,30,A4_sum_to_one_deployable,0.6592,0.0616,0.004,0.0213,0.1003
resplit_33,0,A3_fixed_a0.25,0.7211,-0.0005,0.964,-0.0412,0.0407
resplit_33,0,A3_fixed_a0.5,0.7382,0.0166,0.157,-0.0063,0.0404
resplit_33,0,A3_fixed_a0.75,0.7328,0.0113,0.012,0.0027,0.0201
resplit_33,0,A3_selected_once,0.731,0.0094,0.573,-0.0232,0.0419
resplit_33,0,F2_deployable,0.731,0.0094,0.516,-0.0182,0.0366
resplit_33,0,F7_deployable,0.7342,0.0126,0.346,-0.014,0.0392
resplit_33,0,A4_sum_to_one_deployable,0.7246,0.003,0.865,-0.0331,0.0383
resplit_33,10,A3_fixed_a0.25,0.6838,0.0155,0.507,-0.0295,0.0592
resplit_33,10,A3_fixed_a0.5,0.6939,0.0257,0.097,-0.0036,0.0539
resplit_33,10,A3_fixed_a0.75,0.6828,0.0145,0.02,0.0025,0.0276
resplit_33,10,A3_selected_once,0.6927,0.0244,0.221,-0.0141,0.0626
resplit_33,10,F2_deployable,0.6915,0.0232,0.159,-0.0086,0.0538
resplit_33,10,F7_deployable,0.6923,0.024,0.144,-0.0076,0.0545
resplit_33,10,A4_sum_to_one_deployable,0.6921,0.0238,0.244,-0.0152,0.0617
resplit_33,20,A3_fixed_a0.25,0.6524,0.0509,0.029,0.0048,0.0998
resplit_33,20,A3_fixed_a0.5,0.6486,0.0471,0.005,0.0144,0.0793
resplit_33,20,A3_fixed_a0.75,0.626,0.0246,0.003,0.0087,0.0399
resplit_33,20,A3_selected_once,0.662,0.0605,0.002,0.0219,0.0995
resplit_33,20,F2_deployable,0.6465,0.045,0.007,0.0106,0.0775
resplit_33,20,F7_deployable,0.6473,0.0458,0.008,0.0117,0.0795
resplit_33,20,A4_sum_to_one_deployable,0.6585,0.057,0.003,0.0166,0.0972
resplit_33,30,A3_fixed_a0.25,0.6537,0.0561,0.016,0.0138,0.0992
resplit_33,30,A3_fixed_a0.5,0.6443,0.0467,0.0,0.0171,0.0761
resplit_33,30,A3_fixed_a0.75,0.6215,0.0239,0.0,0.0107,0.0365
resplit_33,30,A3_selected_once,0.6621,0.0644,0.0,0.0269,0.1016
resplit_33,30,F2_deployable,0.6454,0.0477,0.002,0.0161,0.0788
resplit_33,30,F7_deployable,0.6457,0.0481,0.001,0.016,0.0797
resplit_33,30,A4_sum_to_one_deployable,0.6583,0.0606,0.005,0.0204,0.0986
resplit_44,0,A3_fixed_a0.25,0.7249,0.0033,0.862,-0.0349,0.0416
resplit_44,0,A3_fixed_a0.5,0.7386,0.017,0.138,-0.0055,0.0402
resplit_44,0,A3_fixed_a0.75,0.7326,0.011,0.009,0.0025,0.0195
resplit_44,0,A3_selected_once,0.7332,0.0116,0.474,-0.0208,0.0446
resplit_44,0,F2_deployable,0.732,0.0104,0.447,-0.0165,0.0371
resplit_44,0,F7_deployable,0.735,0.0134,0.303,-0.0124,0.0389
resplit_44,0,A4_sum_to_one_deployable,0.7262,0.0046,0.781,-0.0308,0.0396
resplit_44,10,A3_fixed_a0.25,0.6878,0.0196,0.384,-0.0251,0.0621
resplit_44,10,A3_fixed_a0.5,0.6942,0.0259,0.081,-0.0024,0.0533
resplit_44,10,A3_fixed_a0.75,0.6832,0.0149,0.011,0.0028,0.0275
resplit_44,10,A3_selected_once,0.6941,0.0258,0.185,-0.0117,0.0634
resplit_44,10,F2_deployable,0.6937,0.0255,0.11,-0.0045,0.0546
resplit_44,10,F7_deployable,0.6944,0.0261,0.103,-0.0038,0.0553
resplit_44,10,A4_sum_to_one_deployable,0.6928,0.0245,0.214,-0.0143,0.0613
resplit_44,20,A3_fixed_a0.25,0.656,0.0545,0.015,0.0098,0.0988
resplit_44,20,A3_fixed_a0.5,0.6514,0.0499,0.0,0.0175,0.0804
resplit_44,20,A3_fixed_a0.75,0.6276,0.0262,0.001,0.011,0.0405
resplit_44,20,A3_selected_once,0.6622,0.0608,0.001,0.0233,0.0992
resplit_44,20,F2_deployable,0.6496,0.0481,0.004,0.0144,0.0805
resplit_44,20,F7_deployable,0.6518,0.0503,0.001,0.0163,0.0829
resplit_44,20,A4_sum_to_one_deployable,0.6583,0.0568,0.003,0.0182,0.0968
resplit_44,30,A3_fixed_a0.25,0.6634,0.0658,0.003,0.0246,0.1057
resplit_44,30,A3_fixed_a0.5,0.646,0.0484,0.001,0.0192,0.0777
resplit_44,30,A3_fixed_a0.75,0.6227,0.0251,0.0,0.0119,0.038
resplit_44,30,A3_selected_once,0.6621,0.0645,0.0,0.028,0.1016
resplit_44,30,F2_deployable,0.6467,0.0491,0.002,0.0179,0.0797
resplit_44,30,F7_deployable,0.6481,0.0504,0.001,0.0196,0.0808
resplit_44,30,A4_sum_to_one_deployable,0.6591,0.0615,0.002,0.0217,0.0987
resplit_55,0,A3_fixed_a0.25,0.7235,0.0019,0.932,-0.0371,0.0404
resplit_55,0,A3_fixed_a0.5,0.7373,0.0157,0.185,-0.0077,0.0393
resplit_55,0,A3_fixed_a0.75,0.733,0.0114,0.01,0.0025,0.0203
resplit_55,0,A3_selected_once,0.7335,0.0119,0.474,-0.0223,0.0461
resplit_55,0,F2_deployable,0.7303,0.0087,0.545,-0.0204,0.0372
resplit_55,0,F7_deployable,0.7336,0.012,0.383,-0.0155,0.0391
resplit_55,0,A4_sum_to_one_deployable,0.7241,0.0025,0.88,-0.0345,0.0392
resplit_55,10,A3_fixed_a0.25,0.688,0.0197,0.399,-0.0241,0.0616
resplit_55,10,A3_fixed_a0.5,0.6939,0.0256,0.091,-0.0028,0.0533
resplit_55,10,A3_fixed_a0.75,0.6833,0.015,0.019,0.002,0.0278
resplit_55,10,A3_selected_once,0.6929,0.0246,0.224,-0.0146,0.0626
resplit_55,10,F2_deployable,0.6908,0.0225,0.173,-0.0088,0.0527
resplit_55,10,F7_deployable,0.6918,0.0236,0.158,-0.0076,0.0543
resplit_55,10,A4_sum_to_one_deployable,0.6908,0.0226,0.26,-0.0177,0.0607
resplit_55,20,A3_fixed_a0.25,0.6554,0.054,0.018,0.0077,0.1001
resplit_55,20,A3_fixed_a0.5,0.6514,0.0499,0.0,0.0175,0.0805
resplit_55,20,A3_fixed_a0.75,0.6279,0.0264,0.001,0.0109,0.0418
resplit_55,20,A3_selected_once,0.664,0.0625,0.001,0.0247,0.1017
resplit_55,20,F2_deployable,0.6513,0.0498,0.001,0.0162,0.082
resplit_55,20,F7_deployable,0.6547,0.0532,0.0,0.0207,0.0854
resplit_55,20,A4_sum_to_one_deployable,0.6587,0.0572,0.003,0.0172,0.0976
resplit_55,30,A3_fixed_a0.25,0.661,0.0634,0.005,0.02,0.1058
resplit_55,30,A3_fixed_a0.5,0.6444,0.0467,0.005,0.0168,0.0766
resplit_55,30,A3_fixed_a0.75,0.6224,0.0248,0.0,0.0111,0.0382
resplit_55,30,A3_selected_once,0.6604,0.0628,0.002,0.0246,0.0999
resplit_55,30,F2_deployable,0.6455,0.0479,0.003,0.0158,0.0795
resplit_55,30,F7_deployable,0.6474,0.0498,0.005,0.0177,0.0811
resplit_55,30,A4_sum_to_one_deployable,0.6564,0.0587,0.006,0.0192,0.097
