model,horizon_min,resplit_seed,auroc,delta_vs_canonical_m3,delta_vs_resplit_f2,p_vs_resplit_f2,ci_low_vs_resplit_f2,ci_high_vs_resplit_f2
F7_interaction,20,22,0.6518,0.0504,0.0012,0.653,-0.0029,0.0064
F2_hybrid_C0.1_resplit_refit,20,22,0.6506,0.0492,0.0,1.0,0.0,0.0
A3_prob_avg_a0.5,20,33,0.6486,0.0471,0.0022,0.784,-0.0095,0.0158
A3_prob_avg_selected,20,33,0.6627,0.0612,0.0163,0.003,0.0064,0.0272
A3_prob_avg_a0.25,20,33,0.6524,0.0509,0.006,0.504,-0.0114,0.0236
F7_interaction,20,33,0.6479,0.0465,0.0015,0.654,-0.0032,0.008
F2_hybrid_C0.1_resplit_refit,20,33,0.6464,0.0449,0.0,1.0,0.0,0.0
A3_prob_avg_a0.5,20,44,0.6514,0.0499,-0.001,0.816,-0.0113,0.0114
A3_prob_avg_selected,20,44,0.6647,0.0633,0.0124,0.001,0.0036,0.0221
A3_prob_avg_a0.25,20,44,0.656,0.0545,0.0036,0.658,-0.0145,0.0204
F7_interaction,20,44,0.6547,0.0532,0.0023,0.562,-0.0025,0.0101
F2_hybrid_C0.1_resplit_refit,20,44,0.6523,0.0509,0.0,1.0,0.0,0.0
A3_prob_avg_a0.5,20,55,0.6514,0.0499,-0.0009,0.794,-0.0113,0.012
A3_prob_avg_selected,20,55,0.6565,0.0551,0.0042,0.639,-0.0141,0.0219
A3_prob_avg_a0.25,20,55,0.6554,0.054,0.0031,0.722,-0.017,0.0214
F7_interaction,20,55,0.6562,0.0547,0.0039,0.283,-0.0014,0.0125
F2_hybrid_C0.1_resplit_refit,20,55,0.6523,0.0508,0.0,1.0,0.0,0.0
A3_prob_avg_a0.5,30,11,0.6445,0.0468,-0.0074,0.26,-0.0193,0.0064
A3_prob_avg_selected,30,11,0.6534,0.0558,0.0016,0.827,-0.0106,0.0138
A3_prob_avg_a0.25,30,11,0.6576,0.06,0.0058,0.401,-0.0079,0.0184
F7_interaction,30,11,0.6529,0.0553,0.0011,0.622,-0.0022,0.0059
F2_hybrid_C0.1_resplit_refit,30,11,0.6518,0.0542,0.0,1.0,0.0,0.0
A3_prob_avg_a0.5,30,22,0.6412,0.0436,-0.0031,0.602,-0.015,0.0116
A3_prob_avg_selected,30,22,0.6659,0.0683,0.0216,0.003,0.0076,0.036
A3_prob_avg_a0.25,30,22,0.653,0.0553,0.0087,0.099,-0.0016,0.0193
F7_interaction,30,22,0.6434,0.0457,-0.001,0.601,-0.0046,0.0036
F2_hybrid_C0.1_resplit_refit,30,22,0.6443,0.0467,0.0,1.0,0.0,0.0
A3_prob_avg_a0.5,30,33,0.6443,0.0467,-0.0021,0.732,-0.0152,0.0149
A3_prob_avg_selected,30,33,0.6527,0.0551,0.0063,0.321,-0.0064,0.0192
A3_prob_avg_a0.25,30,33,0.6537,0.0561,0.0073,0.283,-0.0064,0.0207
F7_interaction,30,33,0.644,0.0463,-0.0024,0.111,-0.0053,0.0006
F2_hybrid_C0.1_resplit_refit,30,33,0.6464,0.0487,0.0,1.0,0.0,0.0
A3_prob_avg_a0.5,30,44,0.646,0.0484,-0.0041,0.531,-0.0173,0.0132
A3_prob_avg_selected,30,44,0.6592,0.0616,0.0091,0.215,-0.0047,0.023
A3_prob_avg_a0.25,30,44,0.6634,0.0658,0.0133,0.004,0.0045,0.0226
F7_interaction,30,44,0.6496,0.052,-0.0005,0.753,-0.0038,0.0029
F2_hybrid_C0.1_resplit_refit,30,44,0.6501,0.0525,0.0,1.0,0.0,0.0
A3_prob_avg_a0.5,30,55,0.6444,0.0467,-0.0047,0.488,-0.0187,0.0114
A3_prob_avg_selected,30,55,0.659,0.0614,0.0099,0.105,-0.0016,0.0211
A3_prob_avg_a0.25,30,55,0.661,0.0634,0.0119,0.065,-0.0006,0.0253
F7_interaction,30,55,0.6511,0.0534,0.002,0.624,-0.0027,0.0095
F2_hybrid_C0.1_resplit_refit,30,55,0.6491,0.0515,0.0,1.0,0.0,0.0
