split,fold,alpha,g1,coef_m3,coef_parity
CANONICAL,0,0.35000000000000003,0.4,0.47059569262483264,0.3677314009700333
CANONICAL,1,0.35000000000000003,0.35000000000000003,0.35262342682316244,0.37787152443389405
CANONICAL,2,0.30000000000000004,0.30000000000000004,0.397526250399446,0.26653661084878466
CANONICAL,3,0.35000000000000003,0.4,0.406032879187019,0.3674846521534315
CANONICAL,4,0.35000000000000003,0.35000000000000003,0.41785257009429555,0.37548828859217365
resplit_11,0,0.35000000000000003,0.35000000000000003,0.38360325304111126,0.42244470792868427
resplit_11,1,0.30000000000000004,0.35000000000000003,0.37117025286236316,0.3606083220624681
resplit_11,2,0.30000000000000004,0.35000000000000003,0.42238738736440884,0.3056906789571649
resplit_11,3,0.30000000000000004,0.35000000000000003,0.37319180009021896,0.28966761119939904
resplit_11,4,0.4,0.4,0.49090179524121724,0.37633290028198335
resplit_22,0,0.30000000000000004,0.35000000000000003,0.4022495131927329,0.35876166186895686
resplit_22,1,0.35000000000000003,0.4,0.3642374310732635,0.43755294685463214
resplit_22,2,0.30000000000000004,0.30000000000000004,0.4541166186119629,0.23584645269744647
resplit_22,3,0.35000000000000003,0.4,0.416654453921414,0.4030543567796463
resplit_22,4,0.35000000000000003,0.35000000000000003,0.4074730231749941,0.31937714292008973
resplit_33,0,0.30000000000000004,0.30000000000000004,0.429214428393156,0.27253279498855254
resplit_33,1,0.30000000000000004,0.35000000000000003,0.3327179042476993,0.3150491676896875
resplit_33,2,0.4,0.4,0.4578629383947178,0.38400084995856143
resplit_33,3,0.30000000000000004,0.35000000000000003,0.4093261283121918,0.341045006367736
resplit_33,4,0.4,0.4,0.4109310537978022,0.44162050400225095
resplit_44,0,0.35000000000000003,0.35000000000000003,0.4366578707928411,0.37194006273855157
resplit_44,1,0.35000000000000003,0.4,0.37008309732605005,0.35915294821564964
resplit_44,2,0.35000000000000003,0.35000000000000003,0.43852553668311456,0.3355805716034609
resplit_44,3,0.35000000000000003,0.35000000000000003,0.38364455852675006,0.33609497057028637
resplit_44,4,0.30000000000000004,0.35000000000000003,0.4106596364834959,0.3497449491378747
resplit_55,0,0.35000000000000003,0.35000000000000003,0.41226687636671927,0.3574395774291688
resplit_55,1,0.35000000000000003,0.35000000000000003,0.4366066785231357,0.3145261888753422
resplit_55,2,0.30000000000000004,0.35000000000000003,0.4054304914559023,0.31863003993667033
resplit_55,3,0.35000000000000003,0.4,0.4409117974964343,0.4479230696578446
resplit_55,4,0.30000000000000004,0.35000000000000003,0.343869793939087,0.32506120219898876
