seed,model_a_auroc,model_b_auroc,model_c_auroc
0,0.6263053879758685,0.7425837320574162,0.5620137299771167
1,0.6574162679425837,0.7425837320574162,0.5594341585188267
2,0.6309132515082172,0.7425837320574162,0.5603286873309756
3,0.6119409194924069,0.7425837320574162,0.5652589972956106
4,0.6346785937174954,0.7425837320574162,0.5596317869773247
