model,brier_score,score_mean,score_std
Model_A_Phase4,0.26441782330686736,0.48004335165023804,0.2754852771759033
Model_B_Continuous_Clinical,0.17020525533040468,-7.237470626831055,0.0469585619866848
Model_C_Continuous_Fusion,0.676836620341526,-1453400.625,2896954.75
