split,arm,seed,fold,epochs,cap_hit,best_val_obj
resplit_33,A2,42,0,88,False,0.53323
resplit_33,A2,43,0,72,False,0.53315
resplit_33,A2,44,0,74,False,0.53287
resplit_33,A3,42,0,39,False,0.52632
resplit_33,A3,43,0,27,False,0.52767
resplit_33,A3,44,0,60,False,0.5261
resplit_33,A0,42,1,47,False,0.50316
resplit_33,A0,43,1,32,False,0.50315
resplit_33,A0,44,1,47,False,0.50259
resplit_33,A1,42,1,50,False,0.49828
resplit_33,A1,43,1,51,False,0.49885
resplit_33,A1,44,1,45,False,0.49818
resplit_33,A2,42,1,43,False,0.68627
resplit_33,A2,43,1,29,False,0.68641
resplit_33,A2,44,1,41,False,0.68453
resplit_33,A3,42,1,56,False,0.66585
resplit_33,A3,43,1,59,False,0.66715
resplit_33,A3,44,1,200,True,0.65628
resplit_33,A0,42,2,89,False,0.45723
resplit_33,A0,43,2,74,False,0.45757
resplit_33,A0,44,2,84,False,0.45773
resplit_33,A1,42,2,44,False,0.45138
resplit_33,A1,43,2,56,False,0.45211
resplit_33,A1,44,2,41,False,0.45153
resplit_33,A2,42,2,98,False,0.56572
resplit_33,A2,43,2,78,False,0.56592
resplit_33,A2,44,2,91,False,0.56753
resplit_33,A3,42,2,43,False,0.55509
resplit_33,A3,43,2,60,False,0.55614
resplit_33,A3,44,2,44,False,0.55506
resplit_33,A0,42,3,144,False,0.47763
resplit_33,A0,43,3,121,False,0.47776
resplit_33,A0,44,3,198,False,0.47767
resplit_33,A1,42,3,52,False,0.48165
resplit_33,A1,43,3,44,False,0.48068
resplit_33,A1,44,3,41,False,0.48136
resplit_33,A2,42,3,200,True,0.59173
resplit_33,A2,43,3,200,True,0.59144
resplit_33,A2,44,3,200,True,0.59201
resplit_33,A3,42,3,49,False,0.61708
resplit_33,A3,43,3,41,False,0.61473
resplit_33,A3,44,3,41,False,0.6168
resplit_33,A0,42,4,132,False,0.46899
resplit_33,A0,43,4,120,False,0.46897
resplit_33,A0,44,4,128,False,0.46894
