arm,vs,dM,dM_p,dM_ci_lo,dM_ci_hi,d0,p0,d10,p10,d20,p20,d30,p30
A1,A0,-0.011238818389848165,0.118,-0.025229197051994567,0.0023989142715801957,-0.020636571666319936,0.116,-0.023507385063449182,0.044,0.0019970875806115673,0.846,-0.0028084044102351102,0.696
A1,PRS,-0.009007697108383589,0.453,-0.032873277741159605,0.01428210395070526,0.013563553151653918,0.531,-0.04091949240690662,0.018,-0.020428541710006187,0.269,0.011753692531724536,0.396
A2,A0,-0.0004472644060745101,0.811,-0.003929091186994543,0.003021629373834834,-0.0028916163927605876,0.475,0.002371541501976271,0.429,0.0002912419388391152,0.941,-0.001560224672352839,0.534
A2,PRS,0.0017838568753900663,0.872,-0.012345331144144643,0.0165021953705387,0.031308508425213266,0.04,-0.015040565841481168,0.186,-0.02213438735177864,0.043,0.013001872269606807,0.286
A3,A0,-0.008446016226336617,0.218,-0.02191543337654935,0.00488451865515703,-0.014520490950696963,0.262,-0.01976284584980237,0.086,0.0029956313709174065,0.762,-0.0024963594757645424,0.728
A3,PRS,-0.00621489494487204,0.597,-0.029314684508969534,0.016151732990386598,0.01967963386727689,0.35,-0.03717495319325981,0.022,-0.019429997919700348,0.266,0.012065737466195103,0.361
A0,PRS,0.0022311212814645764,0.788,-0.012465118890509165,0.016719059156092318,0.034200124817973854,0.013,-0.01741210734345744,0.148,-0.022425629290617755,0.049,0.014562096941959646,0.237
