threshold,median_lead_min,pct_detected_ge20min,pct_detected_ge30min,false_alert_rate,arm
0.1899,32.5,0.6727,0.5636,0.8467,2.5min_baseline
0.1818,40.0,0.7727,0.6364,0.9291,1.0min_pilot
